at	profit	profit_sigma	side	entry	exit	roc_total	pl	pf_trade_ratio	roc_indiv	dd	reversal	hold_ns	hold_mins	alpha
2019-03-02T05:30:00.013169900	-1858	67784	Side.BUY	424013	422155	0.1753427887981479646665958436	1.213815488563849082552890818	0.32	-0.004381941119729819604587595192	-0.004381941119729819604587595192	False	71999.7157151	1200	None
2019-03-02T21:00:00.037747400	225	68009	Side.SELL	422155	421930	0.1758757683909515557646522447	1.214525220726702647458685702	0.3253968253968253968253968254	0.0005329795928035910980564010849	0.0	False	55800.0245775	930	None
2019-03-02T21:30:00.473178900	798	68807	Side.BUY	421930	422728	0.1777670773758542647448148309	1.217042404130956624324571558	0.3307086614173228346456692913	0.001891308984902708980162586211	0.0	False	1800.4354315	30	None
2019-03-02T22:30:00.324440800	513	69320	Side.SELL	422728	422215	0.1789806236751294487875089510	1.218660593462262752309783894	0.3359375	0.001213546299275184042694120096	0.0	False	3599.8512619	60	None
2019-03-03T13:30:00.013374700	-395	68925	Side.BUY	422215	421820	0.1780450813566424220357355654	1.217144063311238248859540792	0.3333333333333333333333333333	-0.0009355423184870267517733855974	-0.0009355423184870267517733855974	False	53999.6889339	900	None
2019-03-05T08:00:00.190948400	8821	77746	Side.SELL	421820	412999	0.1989568446680074592554027220	1.244934092799354789928674043	0.3384615384615384615384615385	0.02091176331136503721966715661	0.0	False	153000.1775737	2550	None
2019-03-06T09:00:00.236429600	12610	90356	Side.BUY	412999	425609	0.2294896062485439738716608728	1.284661138694961816669607077	0.3435114503816793893129770992	0.03053276158053651461625815075	0.0	False	90000.0454812	1500	None
2019-03-06T13:30:00.104183200	-1182	89174	Side.SELL	425609	426791	0.2267124093377643615984241696	1.279895040144633676294264245	0.3409090909090909090909090909	-0.002777196910779612273236703171	-0.002777196910779612273236703171	False	16199.8677536	270	None
2019-03-07T15:00:00.391776900	4409	93583	Side.BUY	426791	431200	0.2370429926912090218653932481	1.293733796194577492639627367	0.3458646616541353383458646617	0.01033058335344466026696907854	0.0	False	91800.2875937	1530	None
2019-03-07T21:00:00.682038400	1446	95029	Side.SELL	431200	429754	0.2403964249732127324405323947	1.298272431088707399293153127	0.3507462686567164179104477612	0.003353432282003710575139146568	0.0	False	21600.2902615	360	None
2019-03-08T01:30:00.053340200	-1347	93682	Side.BUY	429754	428407	0.2372620736931781079809578474	1.292806576130272390567128725	0.3481481481481481481481481481	-0.003134351280034624459574547299	-0.003134351280034624459574547299	False	16199.3713018	270	None
2019-03-08T02:00:00.016415100	164	93846	Side.SELL	428407	428243	0.2376448872326394146356110160	1.293319164231352263670318336	0.3529411764705882352941176471	0.0003828135394613066546531685990	0.0	False	1799.9630749	30	None
2019-03-08T02:30:00.048211500	138	93984	Side.BUY	428243	428381	0.2379671341812176751092206255	1.293750488365187766647392521	0.3576642335766423357664233577	0.0003222469485782604736096094974	0.0	False	1800.0317964	30	None
2019-03-08T14:30:00.009991400	-1227	92757	Side.SELL	428381	429608	0.2351028614893849374294449118	1.288807866190078836262189730	0.3550724637681159420289855072	-0.002864272691832737679775713675	-0.002864272691832737679775713675	False	43199.9617799	720	None
2019-03-08T22:03:40.612135900	-8000	84757	Side.BUY	429608	421608	0.2164812343316038905215661014	1.257485448337039602396315604	0.3525179856115107913669064748	-0.01862162715778104690787881045	-0.01862162715778104690787881045	False	27220.6021445	453	None
2019-03-09T07:03:34.480387500	-8000	76757	Side.SELL	424897	432897	0.1976531418762558885352023474	1.227649389629032066719656436	0.35	-0.01882809245534800198636375404	-0.03744971961312904889424256449	False	32393.8682516	540	None
2019-03-10T01:30:00.416697800	1263	78020	Side.BUY	431450	432713	0.2005804799223794254456207041	1.231395252274803364454936946	0.3546099290780141843971631206	0.002927338046123536910418356704	0.0	False	66385.9363103	1107	None
2019-03-11T01:30:00.101089100	1313	79333	Side.SELL	432713	431400	0.2036148237022057768609930179	1.235289407186836392108478759	0.3591549295774647887323943662	0.003034343779826351415372313751	0.0	False	86399.6843913	1440	None
2019-03-11T09:30:00.162287600	-3630	75703	Side.BUY	431400	427770	0.1952003591681306725494492071	1.222131912371406271089958392	0.3566433566433566433566433566	-0.008414464534075104311543810848	-0.008414464534075104311543810848	False	28800.0611985	480	None
2019-03-12T13:00:00.470068300	360	76063	Side.SELL	427770	427410	0.1960419329110298940937370253	1.223188244200444833070228461	0.3611111111111111111111111111	0.0008415737428992215442878182201	0.0	False	99000.3077807	1650	None
2019-03-13T03:30:00.086769900	-182	75881	Side.BUY	427410	427228	0.1956161122704271941101147422	1.222535368228421274898528963	0.3586206896551724137931034483	-0.0004258206406026999836222830537	-0.0004258206406026999836222830537	False	52199.6167016	870	None
2019-03-13T04:30:00.237231500	188	76069	Side.SELL	427228	427040	0.1960561583348237224275471202	1.223086713746099523731318772	0.3630136986301369863013698630	0.0004400460643965283174323780277	0.0	False	3600.1504616	60	None
2019-03-13T10:30:00.074551300	-3127	72942	Side.BUY	427040	423913	0.1887336592715041270734819272	1.211972299635873308322023998	0.3605442176870748299319727891	-0.007322499063319595354065192956	-0.007322499063319595354065192956	False	21599.8373198	360	None
2019-03-14T03:00:00.036659600	-2003	70939	Side.SELL	423913	425916	0.1840086331458604218792557534	1.204958481887470602171538857	0.3581081081081081081081081081	-0.004725026125643705194226173767	-0.01204752518896330054829136672	False	59399.9621083	990	None
2019-03-14T14:23:41.674823100	-8000	62939	Side.BUY	425916	417916	0.1652255867235611891667021043	1.177736548117272968592035333	0.3557046979865771812080536913	-0.01878304642229923271255364908	-0.01878304642229923271255364908	False	41021.6381635	683	None
2019-03-14T16:30:00.015427900	-333	62606	Side.SELL	425874	426207	0.1644436653101854019620359354	1.176630074454008638809187269	0.3533333333333333333333333333	-0.0007819214133757872046661688668	-0.01956496783567501991721981795	False	7578.3406048	127	None
